x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9
0.000000000000000000e+00 1.679267234546415910e+00 1.791890072165594816e+00 1.767050201772133233e+00 1.601594324059254726e+00 1.301673965078143036e+00 9.008196182721465162e-01 4.661837610172469559e-01 7.960625660631628908e-02 -1.974115141675180651e-01 -3.510653149930176298e-01
1.000000000000000000e+00 -1.660241011823259782e+00 -1.507033291333321312e+00 -1.341740594814501364e+00 -1.241358334539870212e+00 -1.235659455798097328e+00 -1.302141212792008451e+00 -1.384645063573280543e+00 -1.417252298927349718e+00 -1.343255238811479346e+00 -1.129784816272824788e+00
2.000000000000000000e+00 1.566484143693970821e-01 -6.193816553551822340e-02 -1.328604104668847374e-01 -1.300939468801280419e-01 -1.400367384914884827e-01 -2.215682316975364219e-01 -3.873613544048437607e-01 -6.044758321162680970e-01 -8.094674589415736810e-01 -9.352494389352673521e-01
3.000000000000000000e+00 8.208010931018057399e-02 -2.905378480405824693e-01 -7.212334056367212254e-01 -1.096444651352319166e+00 -1.320282143684961218e+00 -1.354198865462024948e+00 -1.228136073793405281e+00 -1.015102923443528038e+00 -7.875972702592511920e-01 -5.860945988969108456e-01
4.000000000000000000e+00 1.128573519241962142e+00 1.243626757640382774e+00 1.206539058270302389e+00 1.023665993852129752e+00 7.385538122649195625e-01 4.207656239076432714e-01 1.419163920177043126e-01 -5.010096583218332650e-02 -1.450538937453099420e-01 -1.646169614810276960e-01
5.000000000000000000e+00 8.550038076437073142e-01 8.997791648934891917e-01 1.038786099052688705e+00 1.205729941906515501e+00 1.327020027090203724e+00 1.365653058714150436e+00 1.335940696137679184e+00 1.279245658744326386e+00 1.223215982232930932e+00 1.160556121278943920e+00
6.000000000000000000e+00 2.118642997476697654e-01 5.388875135823568696e-01 7.182432085535928046e-01 7.607569195738621559e-01 7.073204929370392469e-01 5.946576755895218724e-01 4.323685649314042423e-01 2.143602676299847520e-01 -4.555522663776471332e-02 -2.900010326580484965e-01
7.000000000000000000e+00 -4.912003065705122101e-02 -1.607154105041109504e-01 -3.024664454204022412e-01 -4.231402340938990037e-01 -4.708540808105486919e-01 -4.182553748254565495e-01 -2.720534815961953012e-01 -6.467788600033613777e-02 1.617476457929867550e-01 3.660018980627945395e-01
8.000000000000000000e+00 -4.824932311373339999e-01 3.619358931465089559e-03 5.381970971382432634e-01 1.021890620266336702e+00 1.370404547273731843e+00 1.538879030998669961e+00 1.528058690436496114e+00 1.374246810092427440e+00 1.130985781021610181e+00 8.527420936323463208e-01
9.000000000000000000e+00 -9.417117558487034246e-02 -2.934623572507648048e-01 -4.826482704683215941e-01 -6.003349362676514422e-01 -5.730147262703423339e-01 -3.487511411583616439e-01 7.272146535687204483e-02 6.257920112708204030e-01 1.185957526256514960e+00 1.599462968764009618e+00
1.000000000000000000e+01 3.124657431525288409e-01 3.476060688800919896e-01 2.857545679210978795e-01 1.704702457642749136e-01 4.872939094105267072e-02 -4.574230263714549466e-02 -9.402795988972185992e-02 -8.067207181763687285e-02 1.416651389979854160e-02 2.055065558677210691e-01
1.100000000000000000e+01 7.956037115025847706e-02 1.007624340582199789e-02 -7.433319844905234008e-02 -1.089064550552080596e-01 -5.894242161786017453e-02 6.606197972536355378e-02 2.189430428257414241e-01 3.344987928994955784e-01 3.549584973588379433e-01 2.565337993261008753e-01
1.200000000000000000e+01 1.610668284615905721e+00 1.838794425881097538e+00 1.880824950438929388e+00 1.714167464932561558e+00 1.392772851876594054e+00 1.026370846375731727e+00 7.222024070167366583e-01 5.276435445724285689e-01 4.144312378637479144e-01 3.132688381404997724e-01
1.300000000000000000e+01 -3.994865068927767049e-01 -2.588337727280016209e-01 -1.418198207546792766e-01 -1.882838422982183874e-02 1.414959106421483925e-01 3.449152713180561602e-01 5.623610202178713768e-01 7.467226375509359304e-01 8.587287233349230053e-01 8.799428936421411773e-01
1.400000000000000000e+01 1.984629377089345004e-01 -1.472756536046801457e-01 -5.029873979374606119e-01 -8.252424796849183730e-01 -1.090557361230495959e+00 -1.304335898520741610e+00 -1.495556016808669675e+00 -1.696482370161179531e+00 -1.918193432375295160e+00 -2.137649370554925987e+00
1.500000000000000000e+01 -3.913388741600720699e-01 -6.231229158676425683e-01 -9.565705389307156414e-01 -1.367947334144782090e+00 -1.822551523542439433e+00 -2.284189862241867708e+00 -2.715382547095317456e+00 -3.073063191729586308e+00 -3.307852067124406492e+00 -3.373920364483872447e+00
1.600000000000000000e+01 -1.817456863069773047e-03 3.028432769986590389e-01 5.524709863419764444e-01 6.788826653393774668e-01 6.762971292158362902e-01 5.929726642564883132e-01 4.959952612522705029e-01 4.322741164805799507e-01 4.122117773432646959e-01 4.220101176659264430e-01
1.700000000000000000e+01 -9.347900477099603533e-02 -2.271108022996517484e-01 -1.893323517796059452e-01 -2.085573032374201177e-02 2.213665053317316611e-01 4.931925459889075491e-01 7.750953170430203709e-01 1.060720077743610990e+00 1.336636564621296319e+00 1.574761391456302784e+00
1.800000000000000000e+01 8.134722411622832272e-01 6.829719054337564099e-01 4.598466648508093835e-01 1.647405613311505868e-01 -1.720760190747419871e-01 -5.175443484897696012e-01 -8.384890768494072111e-01 -1.100412302987583635e+00 -1.267984116134905026e+00 -1.312709314281462980e+00
1.900000000000000000e+01 -1.090004070382994961e+00 -8.578585970788262793e-01 -5.252294471283567301e-01 -5.762036189159527172e-02 5.209860821916760809e-01 1.113614906894181633e+00 1.583604840931564839e+00 1.819397403726875195e+00 1.789940566242989917e+00 1.556499358925145904e+00
2.000000000000000000e+01 9.897279397807743490e-03 3.070831519878610139e-01 5.513602587850598979e-01 6.880138679745642083e-01 6.696498990892951753e-01 4.840270007503097438e-01 1.754733089913428912e-01 -1.647171199888096960e-01 -4.405680856355254083e-01 -6.004108629381860185e-01
2.100000000000000000e+01 1.195536755918868710e-01 -1.630553519417841934e-01 -4.638651551402764306e-01 -7.381621190584912728e-01 -9.153428994600421031e-01 -9.388943722817053583e-01 -7.992587115108922280e-01 -5.417888825104578698e-01 -2.492897623028962339e-01 -8.890019100175399966e-03
2.200000000000000000e+01 -2.365817780612051280e+00 -2.356312893607187320e+00 -2.231851217988444880e+00 -2.027394216451595010e+00 -1.799630793168688792e+00 -1.599136843923612661e+00 -1.445347470744501983e+00 -1.319842953206086245e+00 -1.183850078117184124e+00 -1.012427626226463095e+00
