x y1 y2 y3 y4 y5 y6 y7 y8 y9 y10
0.000000000000000000e+00 4.898347583101704816e-01 1.180302435940443262e+00 1.169604416889150178e+00 -3.089621332252327490e-01 -1.439243730967623147e+00 7.676561577971867667e-01 -1.329812009064382794e+00 5.400820485962978257e-01 3.627194331663451954e-01 -1.432181377442358405e+00
1.000000000000000000e+00 -3.806408046445087373e-02 2.858043000456763627e-01 -1.679179513579769134e+00 5.729972766750339730e-01 1.215955839707002495e+00 -1.159676626576981784e+00 1.099862989117478485e+00 -8.684111724865576365e-01 -6.682709405765393518e-01 1.238981928139109900e+00
2.000000000000000000e+00 -2.183546268040437721e-01 -1.054935314244931144e+00 1.736855821388244348e+00 -6.455806637537118142e-01 -9.297838338479194054e-01 1.221989525488229811e+00 -8.254771389478194887e-01 9.341646134369211429e-01 7.479416804807669239e-01 -9.668200631957277746e-01
3.000000000000000000e+00 5.713007019077712689e-01 2.031447287961290815e+00 -1.517624244560797031e+00 6.407338213463410481e-01 3.318124267416692752e-01 -1.100152768974855588e+00 2.638356149337731105e-01 -8.683597348386801196e-01 -7.362816531678223475e-01 3.832885486513090134e-01
4.000000000000000000e+00 -1.317701012827067752e-01 -2.971918847546559453e-03 -1.619541643748177995e+00 5.333106727810247305e-01 1.293404282137705863e+00 -1.110429119720252489e+00 1.175610189339140188e+00 -8.245717976163029483e-01 -6.238388254562587942e-01 1.310798262413375159e+00
5.000000000000000000e+00 -4.678392624451914172e-01 1.618921651387922989e+00 1.510177060878965083e+00 1.049313765761723527e+00 -8.526625522676299918e-01 -9.132989593292055730e-01 -1.268858843575502826e+00 -6.772119792304882591e-01 -2.719943536982216692e-01 2.734534725176333558e-01
6.000000000000000000e+00 1.463718934953316397e-01 -1.873035848971926987e+00 -1.216228657501704502e+00 -1.045896291047577753e+00 8.996637236752107469e-01 9.285209332304580343e-01 1.273741251728692792e+00 6.924799438541140439e-01 3.261207777252227991e-01 -1.317377261878326655e-01
7.000000000000000000e+00 -1.591125650097079403e+00 -1.699496777143807646e+00 3.578932870269079247e-01 -1.060274236149624683e+00 1.039164183095835359e+00 6.734322211734627972e-01 1.159119781727838916e+00 3.640842121503353179e-01 2.529163739275111511e-01 5.042866042886136047e-01
8.000000000000000000e+00 2.243987880089509668e-01 -1.818649164226938897e+00 -1.287355327156880058e+00 -1.050447409575367530e+00 8.902393811227654608e-01 9.273227119738524094e-01 1.274962582968144797e+00 6.907837546850816857e-01 3.143817794172327207e-01 -1.656370972168382805e-01
9.000000000000000000e+00 6.958973724064801969e-01 -1.266243735828056050e+00 -1.845338893605573016e+00 -9.500949177950642754e-01 8.089528499503411130e-01 8.620901032080487969e-01 1.268471166200887623e+00 6.307998825929221898e-01 1.968559453123963077e-01 -4.013897724423850510e-01
